# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 9.740578125000000000e+03 9.740578125000000000e+03 1.005220890045166016e+00
1.000000000000000000e+03 3.182230712890625000e+03 3.182230712890625000e+03 5.745593905448913574e-01
2.000000000000000000e+03 1.565166503906250000e+03 1.565166503906250000e+03 4.029483497142791748e-01
3.000000000000000000e+03 9.467242431640625000e+02 9.467242431640625000e+02 3.133869171142578125e-01
4.000000000000000000e+03 5.649172973632812500e+02 5.649172973632812500e+02 2.420814484357833862e-01
5.000000000000000000e+03 3.177061767578125000e+02 3.177061767578125000e+02 1.815440058708190918e-01
6.000000000000000000e+03 1.653565826416015625e+02 1.653565826416015625e+02 1.309724152088165283e-01
7.000000000000000000e+03 8.056216430664062500e+01 8.056216430664062500e+01 9.141862392425537109e-02
8.000000000000000000e+03 3.537844467163085938e+01 3.537844467163085938e+01 6.058127433061599731e-02
9.000000000000000000e+03 1.392424392700195312e+01 1.392424392700195312e+01 3.800623491406440735e-02
1.000000000000000000e+04 5.048054218292236328e+00 5.048054218292236328e+00 2.288395352661609650e-02
1.100000000000000000e+04 1.612339615821838379e+00 1.612339615821838379e+00 1.293294131755828857e-02
1.200000000000000000e+04 5.020294189453125000e-01 5.020294189453125000e-01 7.216615602374076843e-03
1.300000000000000000e+04 1.456649452447891235e-01 1.456649452447891235e-01 3.887286875396966934e-03
1.400000000000000000e+04 6.985264271497726440e-02 6.985264271497726440e-02 2.691908273845911026e-03
1.500000000000000000e+04 1.363506764173507690e-01 1.363506764173507690e-01 3.760963678359985352e-03
1.600000000000000000e+04 1.052861586213111877e-01 1.052861586213111877e-01 3.304860321804881096e-03
1.700000000000000000e+04 1.631005294620990753e-02 1.631005294620990753e-02 1.300750416703522205e-03
1.800000000000000000e+04 6.299518942832946777e-01 6.299518942832946777e-01 8.083921857178211212e-03
1.900000000000000000e+04 3.460173308849334717e-02 3.460173308849334717e-02 1.894614077173173428e-03
2.000000000000000000e+04 5.410492420196533203e-03 5.410492420196533203e-03 7.491792785003781319e-04
2.100000000000000000e+04 2.364708483219146729e-02 2.364708483219146729e-02 1.566227758303284645e-03
2.200000000000000000e+04 6.942011881619691849e-03 6.942011881619691849e-03 8.486084989272058010e-04
2.300000000000000000e+04 5.295798555016517639e-02 5.295798555016517639e-02 2.343864412978291512e-03
2.400000000000000000e+04 4.419758543372154236e-02 4.419758543372154236e-02 2.141267294064164162e-03
2.500000000000000000e+04 1.301261931657791138e-01 1.301261931657791138e-01 3.674091305583715439e-03
2.600000000000000000e+04 7.215495407581329346e-02 7.215495407581329346e-02 2.735924907028675079e-03
2.700000000000000000e+04 4.633335396647453308e-03 4.633335396647453308e-03 6.932859541848301888e-04
2.800000000000000000e+04 3.364575328305363655e-03 3.364575328305363655e-03 5.907935556024312973e-04
2.900000000000000000e+04 3.259070590138435364e-02 3.259070590138435364e-02 1.838713069446384907e-03
3.000000000000000000e+04 5.750917792320251465e-01 5.750917792320251465e-01 7.723932154476642609e-03
3.100000000000000000e+04 1.337153743952512741e-02 1.337153743952512741e-02 1.177775906398892403e-03
3.200000000000000000e+04 2.337608486413955688e-01 2.337608486413955688e-01 4.924432374536991119e-03
3.300000000000000000e+04 2.767398059368133545e-01 2.767398059368133545e-01 5.358014255762100220e-03
3.400000000000000000e+04 2.897338010370731354e-03 2.897338010370731354e-03 5.482319975271821022e-04
3.500000000000000000e+04 8.795813471078872681e-02 8.795813471078872681e-02 3.020710078999400139e-03
3.600000000000000000e+04 2.360841957852244377e-03 2.360841957852244377e-03 4.948824062012135983e-04
3.700000000000000000e+04 1.133974920958280563e-02 1.133974920958280563e-02 1.084593939594924450e-03
3.800000000000000000e+04 3.300625132396817207e-03 3.300625132396817207e-03 5.851421155966818333e-04
3.900000000000000000e+04 1.177277937531471252e-01 1.177277937531471252e-01 3.494700416922569275e-03
4.000000000000000000e+04 1.039078310132026672e-01 1.039078310132026672e-01 3.283181460574269295e-03
4.100000000000000000e+04 3.604418830946087837e-03 3.604418830946087837e-03 6.114940042607486248e-04
4.200000000000000000e+04 6.934799719601869583e-03 6.934799719601869583e-03 8.481710101477801800e-04
4.300000000000000000e+04 2.104915911331772804e-03 2.104915911331772804e-03 4.672877548728138208e-04
4.400000000000000000e+04 8.229202777147293091e-02 8.229202777147293091e-02 2.921793144196271896e-03
4.500000000000000000e+04 2.050243504345417023e-02 2.050243504345417023e-02 1.458372222259640694e-03
4.600000000000000000e+04 4.498642869293689728e-03 4.498642869293689728e-03 6.831456557847559452e-04
4.700000000000000000e+04 2.171708038076758385e-03 2.171708038076758385e-03 4.746440099552273750e-04
4.800000000000000000e+04 9.190854616463184357e-03 9.190854616463184357e-03 9.764380520209670067e-04
4.900000000000000000e+04 5.850553046911954880e-03 5.850553046911954880e-03 7.790593081153929234e-04
5.000000000000000000e+04 2.121469238772988319e-03 2.121469238772988319e-03 4.691266804002225399e-04
