# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 9.553320312500000000e+03 9.553320312500000000e+03 1.001867771148681641e+00
1.000000000000000000e+03 3.105750732421875000e+03 3.105750732421875000e+03 5.712373256683349609e-01
2.000000000000000000e+03 1.514183227539062500e+03 1.514183227539062500e+03 3.988617956638336182e-01
3.000000000000000000e+03 9.296475219726562500e+02 9.296475219726562500e+02 3.125305175781250000e-01
4.000000000000000000e+03 5.677623901367187500e+02 5.677623901367187500e+02 2.442398816347122192e-01
5.000000000000000000e+03 3.270838317871093750e+02 3.270838317871093750e+02 1.853799819946289062e-01
6.000000000000000000e+03 1.742003021240234375e+02 1.742003021240234375e+02 1.352875232696533203e-01
7.000000000000000000e+03 8.377862548828125000e+01 8.377862548828125000e+01 9.382095187902450562e-02
8.000000000000000000e+03 3.579233932495117188e+01 3.579233932495117188e+01 6.132369488477706909e-02
9.000000000000000000e+03 1.381643581390380859e+01 1.381643581390380859e+01 3.810055181384086609e-02
1.000000000000000000e+04 4.741781711578369141e+00 4.741781711578369141e+00 2.232050336897373199e-02
1.100000000000000000e+04 1.408656358718872070e+00 1.408656358718872070e+00 1.216566190123558044e-02
1.200000000000000000e+04 4.500395357608795166e-01 4.500395357608795166e-01 6.876356434077024460e-03
1.300000000000000000e+04 4.936850070953369141e-01 4.936850070953369141e-01 7.202093955129384995e-03
1.400000000000000000e+04 5.698556825518608093e-02 5.698556825518608093e-02 2.446896396577358246e-03
1.500000000000000000e+04 2.564054913818836212e-02 2.564054913818836212e-02 1.641333568841218948e-03
1.600000000000000000e+04 1.503061223775148392e-02 1.503061223775148392e-02 1.256671734154224396e-03
1.700000000000000000e+04 1.319819092750549316e-01 1.319819092750549316e-01 3.723825095221400261e-03
1.800000000000000000e+04 9.900989942252635956e-03 9.900989942252635956e-03 1.019935356453061104e-03
1.900000000000000000e+04 8.616533130407333374e-03 8.616533130407333374e-03 9.514807607047259808e-04
2.000000000000000000e+04 7.969882339239120483e-03 7.969882339239120483e-03 9.150812402367591858e-04
2.100000000000000000e+04 8.152922615408897400e-03 8.152922615408897400e-03 9.255270124413073063e-04
2.200000000000000000e+04 7.191075477749109268e-03 7.191075477749109268e-03 8.692207047715783119e-04
2.300000000000000000e+04 6.504102610051631927e-03 6.504102610051631927e-03 8.266606018878519535e-04
2.400000000000000000e+04 8.329664357006549835e-03 8.329664357006549835e-03 9.355008951388299465e-04
2.500000000000000000e+04 7.444788515567779541e-02 7.444788515567779541e-02 2.796796616166830063e-03
2.600000000000000000e+04 5.301005672663450241e-03 5.301005672663450241e-03 7.462985813617706299e-04
2.700000000000000000e+04 5.601630546152591705e-03 5.601630546152591705e-03 7.671650964766740799e-04
2.800000000000000000e+04 4.737223498523235321e-03 4.737223498523235321e-03 7.054947782307863235e-04
2.900000000000000000e+04 8.338435553014278412e-03 8.338435553014278412e-03 9.359910036437213421e-04
3.000000000000000000e+04 7.402202114462852478e-03 7.402202114462852478e-03 8.818819769658148289e-04
3.100000000000000000e+04 5.408546701073646545e-02 5.408546701073646545e-02 2.383832354098558426e-03
3.200000000000000000e+04 6.321758497506380081e-03 6.321758497506380081e-03 8.149865316227078438e-04
3.300000000000000000e+04 4.163826350122690201e-03 4.163826350122690201e-03 6.614262820221483707e-04
3.400000000000000000e+04 7.167582213878631592e-02 7.167582213878631592e-02 2.744236728176474571e-03
3.500000000000000000e+04 1.175312884151935577e-02 1.175312884151935577e-02 1.111234771087765694e-03
3.600000000000000000e+04 3.271861374378204346e-01 3.271861374378204346e-01 5.863135214895009995e-03
3.700000000000000000e+04 9.782588109374046326e-03 9.782588109374046326e-03 1.013807835988700390e-03
3.800000000000000000e+04 7.022308651357889175e-03 7.022308651357889175e-03 8.589643985033035278e-04
3.900000000000000000e+04 2.955648116767406464e-03 2.955648116767406464e-03 5.572643713094294071e-04
4.000000000000000000e+04 1.267170533537864685e-02 1.267170533537864685e-02 1.153847319073975086e-03
4.100000000000000000e+04 1.487777195870876312e-02 1.487777195870876312e-02 1.250271103344857693e-03
4.200000000000000000e+04 7.764913141727447510e-03 7.764913141727447510e-03 9.032363886944949627e-04
4.300000000000000000e+04 2.672181464731693268e-03 2.672181464731693268e-03 5.298629403114318848e-04
4.400000000000000000e+04 2.395703224465250969e-03 2.395703224465250969e-03 5.017064395360648632e-04
4.500000000000000000e+04 2.997491275891661644e-03 2.997491275891661644e-03 5.611984524875879288e-04
4.600000000000000000e+04 4.137386754155158997e-02 4.137386754155158997e-02 2.084943000227212906e-03
4.700000000000000000e+04 3.341805422678589821e-03 3.341805422678589821e-03 5.925542791374027729e-04
4.800000000000000000e+04 2.254443941637873650e-03 2.254443941637873650e-03 4.866887175012379885e-04
4.900000000000000000e+04 9.465769864618778229e-03 9.465769864618778229e-03 9.972585830837488174e-04
5.000000000000000000e+04 4.962843377143144608e-03 4.962843377143144608e-03 7.221100968308746815e-04
