# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 9.356094726562500000e+03 9.356094726562500000e+03 9.984231591224670410e-01
1.000000000000000000e+03 3.102430175781250000e+03 3.102430175781250000e+03 5.749344825744628906e-01
2.000000000000000000e+03 1.502338500976562500e+03 1.502338500976562500e+03 4.000840187072753906e-01
3.000000000000000000e+03 9.010736694335937500e+02 9.010736694335937500e+02 3.098471164703369141e-01
4.000000000000000000e+03 5.405924072265625000e+02 5.405924072265625000e+02 2.399950623512268066e-01
5.000000000000000000e+03 3.089109497070312500e+02 3.089109497070312500e+02 1.814194917678833008e-01
6.000000000000000000e+03 1.653709411621093750e+02 1.653709411621093750e+02 1.327385157346725464e-01
7.000000000000000000e+03 8.016079711914062500e+01 8.016079711914062500e+01 9.241625666618347168e-02
8.000000000000000000e+03 3.507027816772460938e+01 3.507027816772460938e+01 6.112754717469215393e-02
9.000000000000000000e+03 1.359932613372802734e+01 1.359932613372802734e+01 3.806502744555473328e-02
1.000000000000000000e+04 4.580294132232666016e+00 4.580294132232666016e+00 2.209093607962131500e-02
1.100000000000000000e+04 1.471658110618591309e+00 1.471658110618591309e+00 1.252192072570323944e-02
1.200000000000000000e+04 5.066820383071899414e-01 5.066820383071899414e-01 7.347427308559417725e-03
1.300000000000000000e+04 2.025960236787796021e-01 2.025960236787796021e-01 4.646040964871644974e-03
1.400000000000000000e+04 8.645304292440414429e-02 8.645304292440414429e-02 3.034992609173059464e-03
1.500000000000000000e+04 4.257236048579216003e-02 4.257236048579216003e-02 2.129762666299939156e-03
1.600000000000000000e+04 4.139803722500801086e-02 4.139803722500801086e-02 2.100201090797781944e-03
1.700000000000000000e+04 1.672742515802383423e-02 1.672742515802383423e-02 1.335001550614833832e-03
1.800000000000000000e+04 1.329935248941183090e-02 1.329935248941183090e-02 1.190371345728635788e-03
1.900000000000000000e+04 1.110700145363807678e-02 1.110700145363807678e-02 1.087841344997286797e-03
2.000000000000000000e+04 1.276459265500307083e-02 1.276459265500307083e-02 1.166181522421538830e-03
2.100000000000000000e+04 8.246195502579212189e-03 8.246195502579212189e-03 9.373391512781381607e-04
2.200000000000000000e+04 8.695231378078460693e-02 8.695231378078460693e-02 3.043769160285592079e-03
2.300000000000000000e+04 2.846262231469154358e-02 2.846262231469154358e-02 1.741400221362709999e-03
2.400000000000000000e+04 6.339805666357278824e-03 6.339805666357278824e-03 8.218740113079547882e-04
2.500000000000000000e+04 6.159341894090175629e-03 6.159341894090175629e-03 8.100909763015806675e-04
2.600000000000000000e+04 3.544370830059051514e-01 3.544370830059051514e-01 6.145242135971784592e-03
2.700000000000000000e+04 4.344102740287780762e-02 4.344102740287780762e-02 2.151404507458209991e-03
2.800000000000000000e+04 5.076812580227851868e-03 5.076812580227851868e-03 7.354668923653662205e-04
2.900000000000000000e+04 5.058554001152515411e-03 5.058554001152515411e-03 7.341429591178894043e-04
3.000000000000000000e+04 4.972904454916715622e-03 4.972904454916715622e-03 7.279022829607129097e-04
3.100000000000000000e+04 5.208240356296300888e-03 5.208240356296300888e-03 7.449185359291732311e-04
3.200000000000000000e+04 5.069746449589729309e-02 5.069746449589729309e-02 2.324100350961089134e-03
3.300000000000000000e+04 3.477109596133232117e-02 3.477109596133232117e-02 1.924784970469772816e-03
3.400000000000000000e+04 8.032364770770072937e-03 8.032364770770072937e-03 9.250802104361355305e-04
3.500000000000000000e+04 4.264936782419681549e-03 4.264936782419681549e-03 6.741039105691015720e-04
3.600000000000000000e+04 3.852967172861099243e-03 3.852967172861099243e-03 6.407140754163265228e-04
3.700000000000000000e+04 3.693662816658616066e-03 3.693662816658616066e-03 6.273256149142980576e-04
3.800000000000000000e+04 3.523058490827679634e-03 3.523058490827679634e-03 6.126691587269306183e-04
3.900000000000000000e+04 1.256318204104900360e-02 1.256318204104900360e-02 1.156931859441101551e-03
4.000000000000000000e+04 7.032824307680130005e-02 7.032824307680130005e-02 2.737336792051792145e-03
4.100000000000000000e+04 3.124637762084603310e-03 3.124637762084603310e-03 5.769888521172106266e-04
4.200000000000000000e+04 3.066037315875291824e-03 3.066037315875291824e-03 5.715528968721628189e-04
4.300000000000000000e+04 3.025798359885811806e-03 3.025798359885811806e-03 5.677954177372157574e-04
4.400000000000000000e+04 3.009155159816145897e-03 3.009155159816145897e-03 5.662204930558800697e-04
4.500000000000000000e+04 2.837610896676778793e-03 2.837610896676778793e-03 5.498536629602313042e-04
4.600000000000000000e+04 3.652060171589255333e-03 3.652060171589255333e-03 6.238024798221886158e-04
4.700000000000000000e+04 2.570158569142222404e-03 2.570158569142222404e-03 5.232944386079907417e-04
4.800000000000000000e+04 2.547267824411392212e-03 2.547267824411392212e-03 5.209657829254865646e-04
4.900000000000000000e+04 1.477543357759714127e-02 1.477543357759714127e-02 1.254718517884612083e-03
5.000000000000000000e+04 1.028690952807664871e-02 1.028690952807664871e-02 1.046936609782278538e-03
